episode,reward,epsilon,lc
19600,-70.277927,0.308,70
19700,-112.73204600000001,0.307,64
19800,-104.74729900000001,0.305,73
19900,-80.533167,0.303,71
20000,-110.596428,0.301,88
20100,-83.048845,0.299,81
20200,-110.84480400000001,0.298,68
20300,-87.80743100000001,0.296,68
20400,-110.13612,0.294,76
20500,-122.803217,0.292,73
20600,-103.368324,0.291,78
20700,-82.247848,0.289,80
20800,-104.46509900000001,0.287,83
20900,-81.42273600000001,0.285,88
21000,-95.132831,0.284,64
21100,-109.283973,0.282,88
21200,-114.117546,0.28,85
21300,-97.43381400000001,0.279,69
21400,-84.91280700000002,0.277,84
21500,-94.211808,0.275,88
21600,-96.878566,0.274,76
21700,-93.591689,0.272,99
21800,-91.81949000000002,0.27,85
21900,-107.320502,0.269,93
22000,-88.66775200000001,0.267,67
22100,-95.121887,0.266,86
22200,-89.65780800000002,0.264,92
22300,-77.91256900000002,0.262,99
22400,-103.189238,0.261,106
22500,-90.643145,0.259,85
22600,-106.84328200000002,0.258,94
22700,-103.87422800000002,0.256,78
22800,-113.970071,0.255,95
22900,-74.705112,0.253,86
23000,-94.965674,0.252,76
23100,-85.43659400000001,0.25,78
23200,-91.20296900000001,0.249,83
23300,-94.769833,0.247,76
23400,-96.13605800000002,0.246,104
23500,-104.47923400000002,0.244,88
23600,-102.53267500000001,0.243,79
23700,-91.71858200000001,0.241,93
23800,-101.12528000000002,0.24,81
23900,-104.321786,0.238,88
24000,-85.748456,0.237,108
24100,-98.54487400000001,0.235,99
24200,-92.78888600000002,0.234,75
24300,-103.70028200000002,0.233,106
24400,-107.368047,0.231,86
24500,-114.774673,0.23,101
24600,-96.842943,0.229,82
24700,-98.605583,0.227,104
24800,-101.51891800000001,0.226,112
24900,-106.15150299999999,0.224,115
25000,-78.957373,0.223,125
25100,-84.779467,0.222,93
25200,-97.521965,0.22,90
25300,-96.658874,0.219,100
25400,-100.264545,0.218,86
25500,-92.89714000000001,0.217,109
25600,-94.21818300000001,0.215,102
25700,-93.204012,0.214,97
25800,-95.33561800000001,0.213,131
25900,-99.109274,0.211,115
26000,-76.898398,0.21,107
26100,-104.770172,0.209,96
26200,-107.57941500000001,0.208,98
26300,-109.275799,0.206,105
26400,-88.97822200000002,0.205,113
26500,-95.458421,0.204,110
26600,-111.08140800000001,0.203,116
26700,-93.62093700000001,0.201,111
26800,-99.962249,0.2,116
26900,-91.531329,0.199,124
27000,-94.35290800000001,0.198,133
27100,-95.77346700000001,0.197,89
27200,-88.254989,0.196,115
27300,-100.42157900000001,0.194,106
27400,-84.89589500000001,0.193,84
27500,-108.949802,0.192,132
27600,-89.884703,0.191,109
27700,-94.01457500000001,0.19,118
27800,-106.399886,0.189,141
27900,-118.247832,0.187,106
28000,-78.760554,0.186,124
28100,-95.85205900000001,0.185,82
28200,-94.82596600000001,0.184,127
28300,-98.796441,0.183,125
28400,-80.383893,0.182,95
28500,-95.531052,0.181,129
28600,-83.743401,0.18,119
28700,-87.16361100000002,0.179,129
28800,-91.225842,0.178,120
28900,-90.948218,0.177,135
29000,-68.160606,0.176,119
29100,-94.44105900000001,0.174,142
29200,-95.030545,0.173,97
29300,-95.10538900000002,0.172,137
29400,-110.57951600000001,0.171,129
29500,-86.67184200000001,0.17,151
29600,-93.842842,0.169,141
29700,-101.71296000000001,0.168,149
29800,-89.577831,0.167,139
29900,-100.93580700000001,0.166,154
30000,-75.07824000000001,0.165,115
30100,-113.01203300000002,0.164,121
30200,-106.45976700000001,0.163,124
30300,-108.261628,0.162,129
30400,-85.46584200000001,0.161,114
30500,-105.84560900000001,0.16,149
30600,-98.79782600000001,0.159,130
30700,-90.70760200000001,0.158,153
30800,-105.329996,0.158,136
30900,-103.61212400000001,0.157,157
31000,-94.236894,0.156,175
31100,-83.12965700000001,0.155,136
31200,-109.02284700000001,0.154,120
31300,-99.242614,0.153,139
31400,-89.81027300000001,0.152,133
31500,-81.511301,0.151,131
31600,-71.569872,0.15,124
31700,-87.89974400000001,0.149,155
31800,-96.337039,0.148,151
31900,-88.66317599999999,0.147,155
32000,-90.07334800000001,0.147,136
32100,-99.822534,0.146,151
32200,-65.831767,0.145,150
32300,-106.84328200000002,0.144,138
32400,-69.09993300000001,0.143,134
32500,-92.55284600000002,0.142,149
32600,-95.67395100000002,0.141,123
32700,-106.83690700000001,0.141,159
32800,-105.385715,0.14,170
32900,-108.16987200000001,0.139,182
33000,-100.48603600000001,0.138,169
33100,-101.419402,0.137,139
33200,-107.08168500000002,0.136,146
33300,-92.27522200000001,0.136,160
33400,-107.025552,0.135,129
33500,-94.96845100000002,0.134,150
33600,-75.22113900000001,0.133,147
33700,-92.03861800000001,0.132,140
33800,-99.806036,0.132,168
33900,-98.12476500000001,0.131,167
34000,-105.123197,0.13,152
34100,-75.938561,0.129,164
34200,-86.80559600000001,0.128,156
34300,-104.618121,0.128,145
34400,-95.242891,0.127,149
34500,-100.368223,0.126,185
34600,-72.768112,0.125,169
34700,-110.32378700000001,0.125,169
34800,-85.92836300000002,0.124,170
34900,-94.723673,0.123,158
35000,-115.165948,0.122,152
35100,-101.396529,0.122,158
35200,-102.93726400000001,0.121,128
35300,-100.71791400000001,0.12,143
35400,-93.04641400000001,0.12,151
35500,-113.22340100000001,0.119,140
35600,-114.22482200000002,0.118,173
35700,-88.907954,0.117,173
35800,-93.567017,0.117,163
35900,-95.638328,0.116,158
36000,-97.82606700000001,0.115,167
36100,-93.32820000000001,0.115,159
36200,-90.40073000000001,0.114,178
36300,-106.397673,0.113,141
36400,-97.344835,0.113,157
36500,-91.458284,0.112,141
36600,-100.10473400000001,0.111,160
36700,-94.382156,0.111,181
36800,-92.428658,0.11,181
36900,-92.87663,0.109,166
37000,-95.39812600000002,0.109,142
37100,-89.21441200000001,0.108,145
37200,-88.03030700000001,0.107,181
37300,-105.713661,0.107,172
37400,-107.77124400000001,0.106,157
37500,-83.369859,0.105,157
37600,-95.90639300000001,0.105,166
37700,-92.36836300000002,0.104,188
37800,-98.03563600000001,0.104,176
37900,-111.856762,0.103,152
38000,-95.19451800000002,0.102,196
38100,-102.30660800000001,0.102,150
38200,-92.281597,0.101,171
38300,-94.216384,0.1,183
38400,-78.11077300000001,0.1,156
38500,-100.52705600000002,0.099,182
38600,-103.73729,0.099,177
38700,-104.64459200000002,0.098,168
38800,-106.117272,0.097,186
38900,-96.16031600000001,0.097,177
