episode,reward,epsilon,lc
84800,-110.06945,0.05,88
84900,-79.30762800000001,0.05,100
85000,-53.355528,0.05,116
85100,-94.95611500000001,0.05,112
85200,-106.938786,0.05,105
85300,-68.58986700000001,0.05,107
85400,-94.089005,0.05,132
85500,-70.476695,0.05,98
85600,-53.829,0.05,107
85700,-85.38822100000002,0.05,126
85800,-63.779167,0.05,113
85900,-79.89988400000001,0.05,125
86000,-85.02882100000001,0.05,106
86100,-63.059946,0.05,109
86200,-71.932877,0.05,104
86300,-95.633752,0.05,114
86400,-106.47528700000001,0.05,121
86500,-81.673889,0.05,111
86600,-98.53891300000001,0.05,126
86700,-80.05055000000002,0.05,96
86800,-115.568738,0.05,119
86900,-84.224219,0.05,111
87000,-65.57743,0.05,104
87100,-77.236731,0.05,118
87200,-87.59744800000001,0.05,111
87300,-91.659672,0.05,127
87400,-95.766678,0.05,123
87500,-83.037901,0.05,129
87600,-78.471979,0.05,136
87700,-73.191412,0.05,106
87800,-61.326554,0.05,95
87900,-59.439312,0.05,99
88000,-81.80223900000001,0.05,108
88100,-84.747035,0.05,97
88200,-81.23825300000001,0.05,123
88300,-59.431966,0.05,120
88400,-77.599322,0.05,96
88500,-58.413219,0.05,126
88600,-96.274945,0.05,105
88700,-47.558934,0.05,120
88800,-92.468436,0.05,117
88900,-78.92632600000002,0.05,125
89000,-110.88001300000002,0.05,99
89100,-68.98350500000001,0.05,136
89200,-105.279824,0.05,98
89300,-93.59765,0.05,112
89400,-60.250289,0.05,111
89500,-85.07816500000001,0.05,96
89600,-79.78248500000001,0.05,106
89700,-72.60372500000001,0.05,115
89800,-119.925505,0.05,120
89900,-115.419464,0.05,102
90000,-87.046212,0.05,109
90100,-82.780787,0.05,113
90200,-81.385314,0.05,122
90300,-89.72710500000001,0.05,122
90400,-51.39926,0.05,90
90500,-89.08467700000001,0.05,108
90600,-84.81966600000001,0.05,117
90700,-64.04903100000001,0.05,90
90800,-61.171319000000004,0.05,120
90900,-123.085417,0.05,101
91000,-79.124944,0.05,111
91100,-57.497178999999996,0.05,107
91200,-86.579115,0.05,110
91300,-47.41644900000001,0.05,111
91400,-98.37452600000002,0.05,112
91500,-109.15078300000002,0.05,129
91600,-72.142032,0.05,103
91700,-85.20276700000001,0.05,108
91800,-105.53319,0.05,99
91900,-108.566701,0.05,101
92000,-95.028746,0.05,91
92100,-88.188319,0.05,89
92200,-111.45577100000001,0.05,97
92300,-123.78176500000001,0.05,99
92400,-65.52351,0.05,120
92500,-87.50790500000001,0.05,113
92600,-106.10632100000001,0.05,95
92700,-65.473752,0.05,99
92800,-84.48950700000002,0.05,107
92900,-89.239912,0.05,111
93000,-95.489054,0.05,98
93100,-56.85655,0.05,122
93200,-52.100184,0.05,118
93300,-90.313964,0.05,104
93400,-61.484566,0.05,101
93500,-80.635046,0.05,73
93600,-67.574725,0.05,117
93700,-85.630229,0.05,116
93800,-110.13889,0.05,96
93900,-73.32835,0.05,109
94000,-59.241108,0.05,116
94100,-75.82074800000001,0.05,116
94200,-120.478954,0.05,114
94300,-63.501957000000004,0.05,118
94400,-81.38989000000001,0.05,132
94500,-87.095556,0.05,82
94600,-87.653581,0.05,101
94700,-87.366805,0.05,90
94800,-76.85501500000001,0.05,109
94900,-99.16720600000001,0.05,104
95000,-110.44659000000001,0.05,106
95100,-92.71723300000001,0.05,91
95200,-78.67337400000001,0.05,109
95300,-49.089132,0.05,87
95400,-64.281473,0.05,106
95500,-73.15717400000001,0.05,109
95600,-74.045772,0.05,113
95700,-103.853718,0.05,111
95800,-103.91899600000002,0.05,120
95900,-100.98916300000002,0.05,104
96000,-116.52816100000001,0.05,100
96100,-116.77155400000001,0.05,91
96200,-96.056638,0.05,110
96300,-80.941918,0.05,113
96400,-81.27526100000001,0.05,133
96500,-98.083181,0.05,91
96600,-105.211769,0.05,107
96700,-75.25357100000001,0.05,132
96800,-74.73990700000002,0.05,114
96900,-52.396519,0.05,113
97000,-57.526427,0.05,97
97100,-59.15434200000001,0.05,95
97200,-121.88856200000001,0.05,98
97300,-71.80231400000001,0.05,89
97400,-78.066005,0.05,96
97500,-43.779317,0.05,95
97600,-71.04386500000001,0.05,110
97700,-90.989802,0.05,102
97800,-96.95299600000001,0.05,93
97900,-42.431803,0.05,116
98000,-105.464307,0.05,110
98100,-80.524579,0.05,118
98200,-107.731052,0.05,124
98300,-69.728226,0.05,105
98400,-51.324830000000006,0.05,100
98500,-100.11110900000001,0.05,110
98600,-73.69094100000001,0.05,91
98700,-79.320378,0.05,113
98800,-48.904649,0.05,113
98900,-73.172701,0.05,93
99000,-40.12805,0.05,112
99100,-81.64880300000002,0.05,113
99200,-58.861191,0.05,106
99300,-74.25492700000001,0.05,116
99400,-75.380536,0.05,84
99500,-90.276542,0.05,96
99600,-68.55285900000001,0.05,103
99700,-83.43472300000002,0.05,105
99800,-82.417782,0.05,97
99900,-93.044201,0.05,117
