pygame 2.6.1 (SDL 2.28.4, Python 3.9.23)
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode 8400, Total Reward: -95.355564, Epsilon: 0.604, LC: 13
Episode 8500, Total Reward: -95.85787000000002, Epsilon: 0.600, LC: 15
Episode 8600, Total Reward: -100.22933600000002, Epsilon: 0.597, LC: 13
Episode 8700, Total Reward: -92.449582, Epsilon: 0.593, LC: 18
Episode 8800, Total Reward: -124.19591300000002, Epsilon: 0.590, LC: 11
Episode 8900, Total Reward: -94.173822, Epsilon: 0.586, LC: 17
Episode 9000, Total Reward: -106.35372600000001, Epsilon: 0.583, LC: 20
Episode 9100, Total Reward: -108.944255, Epsilon: 0.579, LC: 10
Episode 9200, Total Reward: -85.880818, Epsilon: 0.576, LC: 10
Episode 9300, Total Reward: -88.542586, Epsilon: 0.572, LC: 20
Episode 9400, Total Reward: -102.76871500000001, Epsilon: 0.569, LC: 17
Episode 9500, Total Reward: -90.967343, Epsilon: 0.565, LC: 12
Episode 9600, Total Reward: -74.60878000000001, Epsilon: 0.562, LC: 19
Episode 9700, Total Reward: -96.077562, Epsilon: 0.559, LC: 18
Episode 9800, Total Reward: -105.692587, Epsilon: 0.555, LC: 21
Episode 9900, Total Reward: -96.15836700000001, Epsilon: 0.552, LC: 31
Episode 10000, Total Reward: -86.917034, Epsilon: 0.549, LC: 22
Episode 10100, Total Reward: -96.83420500000001, Epsilon: 0.545, LC: 23
Episode 10200, Total Reward: -111.510519, Epsilon: 0.542, LC: 22
Episode 10300, Total Reward: -97.892323, Epsilon: 0.539, LC: 18
Episode 10400, Total Reward: -90.51797900000001, Epsilon: 0.536, LC: 7
Episode 10500, Total Reward: -96.448327, Epsilon: 0.533, LC: 15
Episode 10600, Total Reward: -74.30648400000001, Epsilon: 0.529, LC: 20
Episode 10700, Total Reward: -76.16864000000001, Epsilon: 0.526, LC: 24
Episode 10800, Total Reward: -97.58488700000001, Epsilon: 0.523, LC: 17
Episode 10900, Total Reward: -95.61545500000001, Epsilon: 0.520, LC: 17
Episode 11000, Total Reward: -91.36596399999999, Epsilon: 0.517, LC: 26
